分区,目的地,价格对比,日均30-50单_1kg,日均30-50单_2kg,日均30-50单_3kg,日均30-50单_4kg,日均30-50单_5kg,日均30-50单_15kg,日均50-100单_1kg,日均50-100单_2kg,日均50-100单_3kg,日均50-100单_4kg,日均50-100单_5kg,日均50-100单_15kg,日均100-200单_1kg,日均100-200单_2kg,日均100-200单_3kg,日均100-200单_4kg,日均100-200单_5kg,日均100-200单_15kg,日均200-300单_1kg,日均200-300单_2kg,日均200-300单_3kg,日均200-300单_4kg,日均200-300单_5kg,日均200-300单_15kg,日均300-500单_1kg,日均300-500单_2kg,日均300-500单_3kg,日均300-500单_4kg,日均300-500单_5kg,日均300-500单_15kg,日均500单以上_1kg,日均500单以上_2kg,日均500单以上_3kg,日均500单以上_4kg,日均500单以上_5kg,日均500单以上_15kg
一区,河南（同省）,顺丰价格,7,9,11,14,17,47,7,9,11,14,17,47,5.5,6.5,7.5,9.5,11.5,41.5,5,6,7,9,11,41,5,6,7,9,11,41,4.5,5.5,6.5,8.5,10.5,40.5
一区,河南（同省）,企业价格,11,13,15,17,19,39,7.5,8.5,9.5,12.5,15.5,45.5,7,8,9,12,15,45,7,8,9,12,15,45,6.5,7.5,9,12,15,45,6,7,8,11,14,44
二区,上海，北京，天津，安徽，山东，山西，广东，江苏，江西，河北，浙江，湖北,陕西,,顺丰价格,8,10,12,15,18,48,8,10,12,15,18,48,5.5,6.5,7.5,9.5,11.5,41.5,5,6,7,9,11,41,5,6,7,9,11,41,4.5,5.5,6.5,8.5,10.5,40.5
二区,上海，北京，天津，安徽，山东，山西，广东，江苏，江西，河北，浙江，湖北,陕西,,企业价格,13,18,23,27,31,71,8,10,12,15,18,48,7.5,9.5,11.5,14.5,17.5,47.5,7.5,9.5,11.5,14.5,17.5,47.5,6.5,7.5,9,12,15,45,6,7,8,11,14,44
三区,辽宁，福建,甘肃,广西,贵州,宁夏,四川,重庆，湖南,顺丰价格,8,11,14,18,22,62,8,11,14,18,22,62,5.5,6.5,7.5,9.5,11.5,41.5,5,6,7,9,11,41,5,6,7,9,11,41,4.5,5.5,6.5,8.5,10.5,40.5
三区,辽宁，福建,甘肃,广西,贵州,宁夏,四川,重庆，湖南,企业价格,13,18,23,27,31,71,9,11,13,16,19,49,8,10,12,15,18,48,8,10,12,15,18,48,6.5,8,9.5,12.5,15.5,45.5,6.5,7.5,8.5,11.5,14.5,44.5
四区,黑龙江,吉林,内蒙古,青海,云南，海南,顺丰价格,10,15,20,26,32,92,10,15,20,26,32,92,5.5,6.5,7.5,9.5,11.5,41.5,5,6,7,9,11,41,5,6,7,9,11,41,4.5,5.5,6.5,8.5,10.5,40.5
四区,黑龙江,吉林,内蒙古,青海,云南，海南,企业价格,15,20,25,30,35,65,10,13,16,21,26,76,10,12.5,15,20,25,75,10,12.5,15,20,25,75,10,12,14,19,24,74,10,12,14,19,24,74
五区,新疆,西藏,顺丰价格,13,21,29,39,49,149,13,21,29,39,49,149,13,21,29,39,49,149,13,21,29,39,49,149,13,21,29,39,49,149,13,21,29,39,49,149
五区,新疆,西藏,企业价格,15.5,23.5,31.5,39.5,47.5,127.5,15.5,23.5,31.5,39.5,47.5,127.5,15.5,23.5,31.5,39.5,47.5,127.5,15.5,23.5,31.5,39.5,47.5,127.5,15.5,23.5,31.5,39.5,47.5,127.5,15.5,23.5,31.5,39.5,47.5,127.5
